Feedback_ID,Feedback_Text,Sentiment,Category,Internship_Duration_Months,Department,Overall_Rating,Would_Recommend
INT0001,"All things considered, I went weeks without hearing from my mentor, which made it hard to know if I was on track. On top of that, most of what I did was so repetitive that there wasn't much room to actually learn anything new.",Negative,Mentorship,1,Human Resources,2,No
INT0002,"I never felt overwhelmed, and when things did get busy, my manager adjusted deadlines accordingly. There were busy weeks, but overall the workload felt fair given my experience level. That said, everyone's experience can vary.",Positive,Workload,6,Web Development,3,Yes
INT0003,"Honestly, the pace was reasonable and left room for me to ask questions without falling behind. Also, the exposure to real datasets taught me more about data cleaning than any course did.",Positive,Workload,1,Business Development,4,Yes
INT0004,"Onboarding was okay, some sessions were useful and others felt like they could've been an email. Meanwhile, the environment was fine, not particularly close-knit but not unfriendly either.",Neutral,Training,2,Machine Learning,3,Yes
INT0005,"All things considered, the team communicated fine for day-to-day tasks but bigger updates sometimes came late. That said, everyone's experience can vary.",Neutral,Communication,4,Marketing,3,Maybe
INT0006,"In my experience, I frequently had no idea what was happening with the project until it was almost too late. Also, there was a lot of pressure in the air that made the environment feel stressful most days. I wanted to share this feedback for future improvement.",Negative,Communication,5,Artificial Intelligence,1,Maybe
INT0007,"Honestly, the work I did often felt like busywork rather than anything that mattered to the team. On top of that, the team communicated fine for day-to-day tasks but bigger updates sometimes came late. I wanted to share this feedback for future improvement.",Negative,Tasks,5,Software Development,2,No
INT0008,The workshops during the first week gave me a solid foundation for the rest of the internship. I wanted to share this feedback for future improvement.,Positive,Training,1,Finance,5,Maybe
INT0009,"Throughout the program, I finished the internship feeling like I didn't get much value out of the time I put in. That's just my honest take.",Negative,Overall Experience,1,Marketing,1,Maybe
INT0010,I finished the internship feeling like I didn't get much value out of the time I put in. I wanted to share this feedback for future improvement.,Negative,Overall Experience,1,Software Development,1,No
INT0011,"In my experience, our stand-up meetings were short but genuinely useful for staying aligned with the team. Others might have had a different experience though.",Positive,Communication,2,Data Science,5,Yes
INT0012,"Honestly, there was a lot of pressure in the air that made the environment feel stressful most days.",Negative,Work Environment,1,Machine Learning,1,Maybe
INT0013,"All things considered, I learned a few new things, but a lot of it was stuff I already knew from school. There were learning opportunities here and there, but nothing that felt especially deep. Just my two cents.",Neutral,Learning,5,Finance,3,No
INT0014,"To be fair, my overall take is mixed, there were things I liked and things that could be better. Additionally, there wasn't a dedicated career development component, but I picked up a few useful tips along the way. That said, everyone's experience can vary.",Neutral,Overall Experience,1,Human Resources,3,Maybe
INT0015,"So far, this internship gave me a much clearer picture of what career path I actually want to pursue.",Positive,Career Development,6,Data Science,5,Yes
INT0016,"During my time here, this internship gave me a much clearer picture of what career path I actually want to pursue. I got genuinely useful advice on my resume and how to prepare for future interviews. Others might have had a different experience though.",Positive,Career Development,5,Machine Learning,5,Yes
INT0017,"Looking back, the training covered the basics adequately, though it felt a bit generic and the training was standard, nothing outstanding but nothing missing either. Meanwhile, the setup was fine, standard desks and standard hours, nothing remarkable either way. Others might have had a different experience though.",Neutral,Training,3,Marketing,3,Maybe
INT0018,I finished the internship feeling like I didn't get much value out of the time I put in. Others might have had a different experience though.,Negative,Overall Experience,1,Business Development,2,Maybe
INT0019,"Honestly, it was a fairly average internship, neither a highlight nor a disappointment. That said, I picked up some practical skills, though the internship leaned more toward repetition than discovery. That said, everyone's experience can vary.",Neutral,Overall Experience,6,Data Science,3,Maybe
INT0020,"The training was standard, nothing outstanding but nothing missing either. I wanted to share this feedback for future improvement.",Neutral,Training,5,Human Resources,2,Maybe
INT0021,"I kept doing the same small task over and over with little variation for weeks. Also, I picked up some practical skills, though the internship leaned more toward repetition than discovery. Others might have had a different experience though.",Negative,Tasks,5,Machine Learning,2,Maybe
INT0022,"Throughout the program, the learning curve was gentle, maybe too gentle for someone who wanted more of a challenge. I picked up some practical skills, though the internship leaned more toward repetition than discovery. Others might have had a different experience though.",Neutral,Learning,2,Finance,3,Maybe
INT0023,"From my perspective, I got genuinely useful advice on my resume and how to prepare for future interviews. Additionally, the office had a comfortable, low-pressure atmosphere that made it easy to concentrate. Just my two cents.",Positive,Career Development,3,Marketing,5,Yes
INT0024,"Overall, I came in hoping to learn a specific tool, but never actually got the chance to use it. Additionally, onboarding was okay, some sessions were useful and others felt like they could've been an email. Hopefully this helps improve the program.",Negative,Learning,1,Web Development,1,Maybe
INT0025,"Throughout the program, I got a general sense of the industry, though not much specific career guidance and there wasn't a dedicated career development component, but I picked up a few useful tips along the way. Also, I worked on a reasonable variety of tasks, though none of them felt particularly high-impact.",Neutral,Career Development,3,Software Development,3,Yes
INT0026,"For the most part, I worked on a reasonable variety of tasks, though none of them felt particularly high-impact.",Neutral,Tasks,2,Artificial Intelligence,3,No
INT0027,"The internship offered very little in terms of skill development, mostly just data entry-type work and I came in hoping to learn a specific tool, but never actually got the chance to use it.",Negative,Learning,2,Business Development,3,No
INT0028,"From my perspective, coworkers were nice enough, though most interactions stayed strictly work related. Meanwhile, the team communicated fine for day-to-day tasks but bigger updates sometimes came late.",Neutral,Team Environment,1,Finance,3,Yes
INT0029,"Throughout the program, the office had a comfortable, low-pressure atmosphere that made it easy to concentrate. The overall environment felt professional but not stiff, which suited me well. Meanwhile, my manager took the time to explain the reasoning behind decisions rather than just handing out tasks.",Positive,Work Environment,1,Business Development,5,Yes
INT0030,"All things considered, the overall environment felt professional but not stiff, which suited me well. The office had a comfortable, low-pressure atmosphere that made it easy to concentrate.",Positive,Work Environment,3,Web Development,5,Yes
INT0031,"Overall, updates about project changes always reached me quickly, so I rarely felt out of the loop. That said, everyone's experience can vary.",Positive,Communication,6,Human Resources,4,Yes
INT0032,"All things considered, the training materials were well organized and easy to follow even for a beginner. I appreciated that training wasn't rushed, we actually had time to practice before doing real work.",Positive,Training,1,Finance,3,Yes
INT0033,"By the end of the internship, tasks were varied enough that I never felt bored during the day. Hopefully this helps improve the program.",Positive,Tasks,4,Web Development,3,Yes
INT0034,"For the most part, I was often given more tasks than I could realistically finish within normal hours. That's just my honest take.",Negative,Workload,1,Human Resources,1,No
INT0035,"All things considered, there wasn't a dedicated career development component, but I picked up a few useful tips along the way. Just my two cents.",Neutral,Career Development,3,Business Development,3,Yes
INT0036,"Looking back, I barely got to interact with the wider team beyond my direct supervisor. Hopefully this helps improve the program.",Negative,Team Environment,3,Human Resources,1,Maybe
INT0037,"Throughout the program, I felt constantly behind because new tasks kept piling up before I finished the last ones.",Negative,Workload,6,Finance,1,Yes
INT0038,The workshops during the first week gave me a solid foundation for the rest of the internship. The training materials were well organized and easy to follow even for a beginner.,Positive,Training,4,Human Resources,5,Yes
INT0039,"From my perspective, most of what I did was so repetitive that there wasn't much room to actually learn anything new.",Negative,Learning,2,Data Science,1,No
INT0040,"From my perspective, the training was standard, nothing outstanding but nothing missing either. Additionally, I picked up some practical skills, though the internship leaned more toward repetition than discovery.",Neutral,Training,5,Machine Learning,3,Maybe
